Segmento TRL,Pregunta,Respuesta,Puntaje
TRL 4-7,¿El prototipo ha sido validado en un entorno relevante o similar al real?,Ha sido probado en un entorno relevante con reporte de desempeño parcial.,15.0
TRL 4-7,¿El prototipo ha sido validado en un entorno relevante o similar al real?,Ha sido validado en un entorno relevante con datos sólidos que respaldan su desempeño.,20.0
TRL 4-7,¿Se han realizado iteraciones o mejoras en el prototipo después de las pruebas iniciales?,No se han realizado mejoras significativas después de la primera prueba.,0.0
TRL 4-7,¿Se han realizado iteraciones o mejoras en el prototipo después de las pruebas iniciales?,"Se han realizado algunas iteraciones menores, pero sin cambios significativos en el diseño.",5.0
TRL 4-7,¿Se han realizado iteraciones o mejoras en el prototipo después de las pruebas iniciales?,Se han realizado algunas iteraciones y mejoras en el diseño basadas en pruebas previas.,10.0
TRL 4-7,¿Se han realizado iteraciones o mejoras en el prototipo después de las pruebas iniciales?,"Se han aplicado múltiples iteraciones con mejoras significativas en el diseño y funcionalidad, con asesoría externa.",12.0
TRL 4-7,¿Se han realizado iteraciones o mejoras en el prototipo después de las pruebas iniciales?,"Se han aplicado múltiples iteraciones con mejoras significativas en el diseño y funcionalidad, con asesoría de un docente.",15.0
TRL 4-7,¿El prototipo ha demostrado ser capaz de funcionar en condiciones cercanas al entorno real o simulado de manera efectiva?,No ha sido sometido a condiciones cercanas a las reales y su desempeño es incierto.,0.0
TRL 4-7,¿El prototipo ha demostrado ser capaz de funcionar en condiciones cercanas al entorno real o simulado de manera efectiva?,"Ha demostrado cierta funcionalidad en condiciones controladas, pero sin replicación en entorno real.",5.0
TRL 4-7,¿El prototipo ha demostrado ser capaz de funcionar en condiciones cercanas al entorno real o simulado de manera efectiva?,"Ha demostrado cierta funcionalidad en condiciones cercanas a las reales, con evidencia de ajustes.",10.0
TRL 4-7,¿El prototipo ha demostrado ser capaz de funcionar en condiciones cercanas al entorno real o simulado de manera efectiva?,"Ha demostrado funcionar de manera estable en condiciones cercanas a las reales, con evidencia técnica parcial.",15.0
TRL 4-7,¿El prototipo ha demostrado ser capaz de funcionar en condiciones cercanas al entorno real o simulado de manera efectiva?,"Ha demostrado funcionar de manera estable en condiciones cercanas a las reales, con evidencia técnica documentada.",20.0
TRL 8-9,¿Cómo ha sido desarrollado el MVP de tu proyecto?,"El MVP aún tiene características incompletas o no integradas completamente. No cuenta con documentación en inglés, el equipo es monodisciplinario y sin docente asesor.",0.0
TRL 8-9,¿Cómo ha sido desarrollado el MVP de tu proyecto?,"Se han construido partes del MVP, pero aún falta integrar algunos componentes clave.",5.0
TRL 8-9,¿Cómo ha sido desarrollado el MVP de tu proyecto?,"El MVP está casi completo, con algunas mejoras pendientes antes de su lanzamiento oficial. Parte de la documentación está en inglés y el equipo es interdisciplinario.",15.0
TRL 8-9,¿Cómo ha sido desarrollado el MVP de tu proyecto?,Contamos con documentación técnica estructurada en inglés.,5.0
TRL 8-9,¿Cómo ha sido desarrollado el MVP de tu proyecto?,El equipo de desarrollo es multidisciplinario y cuenta con asesoría de expertos.,5.0
TRL 8-9,¿Cómo ha sido desarrollado el MVP de tu proyecto?,"El MVP está completamente desarrollado y funcional, listo para su comercialización. La documentación clave está en inglés y el equipo es multidisciplinario.",25.0
TRL 8-9,¿Qué pruebas de funcionamiento ha realizado tu MVP?,No se han realizado pruebas o solo han sido pruebas teóricas.,0.0
TRL 8-9,¿Qué pruebas de funcionamiento ha realizado tu MVP?,"Ha sido probado en un entorno controlado, pero aún no ha demostrado un desempeño estable en condiciones reales. No hay documentación técnica estructurada en inglés.",5.0
TRL 8-9,¿Qué pruebas de funcionamiento ha realizado tu MVP?,"Se han realizado pruebas en laboratorio con protocolos definidos, pero sin evaluación externa.",10.0
TRL 8-9,¿Qué pruebas de funcionamiento ha realizado tu MVP?,"Ha sido probado en entornos reales con resultados parciales, pero requiere ajustes antes de su validación definitiva. Algunas evaluaciones técnicas se han documentado en inglés.",15.0
TRL 8-9,¿Qué pruebas de funcionamiento ha realizado tu MVP?,"Ha demostrado un desempeño estable y validado en el entorno real, cumpliendo con los estándares del mercado. Se han presentado reportes técnicos en inglés y cuenta con un docente en el equipo.",20.0
TRL 8-9,¿El MVP ha sido validado en un entorno relevante o similar al mercado real?,No se ha evaluado el potencial de escalabilidad o existen limitaciones técnicas significativas. No hay visión multidisciplinaria en la evaluación de expansión.,0.0
TRL 8-9,¿El MVP ha sido validado en un entorno relevante o similar al mercado real?,"Se han realizado pruebas preliminares en un entorno relevante, pero sin análisis concluyente.",5.0
TRL 8-9,¿El MVP ha sido validado en un entorno relevante o similar al mercado real?,"Se ha identificado el potencial de escalabilidad, pero aún requiere optimización para producción masiva. El equipo cuenta con al menos dos disciplinas involucradas.",10.0
TRL 8-9,¿El MVP ha sido validado en un entorno relevante o similar al mercado real?,"Se han realizado pruebas en entornos similares al mercado, pero sin certificaciones o respaldo documental.",15.0
TRL 8-9,¿El MVP ha sido validado en un entorno relevante o similar al mercado real?,Ha sido optimizado para su escalabilidad y tiene potencial para producción masiva o expansión a nuevos mercados. Ha sido evaluado desde diversas áreas del conocimiento.,20.0
TRL 8-9,¿Existen iteraciones y mejoras después de las pruebas iniciales?,No se cuenta con un plan claro de comercialización o transferencia tecnológica. No se ha considerado la asesoría de un docente o experto en negocios.,0.0
TRL 8-9,¿Existen iteraciones y mejoras después de las pruebas iniciales?,"Se han identificado mejoras necesarias, pero aún no se han implementado.",5.0
TRL 8-9,¿Existen iteraciones y mejoras después de las pruebas iniciales?,"Existe un plan preliminar de comercialización o transferencia, aunque aún no se ha implementado. Cuenta con asesoría externa, pero sin docente formal en el equipo.",10.0
TRL 8-9,¿Existen iteraciones y mejoras después de las pruebas iniciales?,Se han realizado ajustes y mejoras en el diseño del MVP con base en pruebas previas.,12.0
TRL 8-9,¿Existen iteraciones y mejoras después de las pruebas iniciales?,El producto está en proceso de comercialización o transferencia tecnológica con un modelo de negocio validado. Cuenta con apoyo docente y asesoría especializada.,15.0
TRL 8-9,¿El MVP ha demostrado ser capaz de operar en condiciones comerciales o reales de manera efectiva?,No se ha recopilado retroalimentación suficiente de los usuarios finales o los datos obtenidos son inconsistentes. No hay validación desde diversas perspectivas profesionales.,0.0
TRL 8-9,¿El MVP ha demostrado ser capaz de operar en condiciones comerciales o reales de manera efectiva?,Se ha realizado una validación inicial con un grupo reducido de usuarios finales.,5.0
TRL 8-9,¿El MVP ha demostrado ser capaz de operar en condiciones comerciales o reales de manera efectiva?,"Se ha recibido retroalimentación inicial de los usuarios finales, pero se requiere más validación para confirmar su éxito en el mercado. Hay aportes de distintas disciplinas, pero falta estructuración.",10.0
TRL 8-9,¿El MVP ha demostrado ser capaz de operar en condiciones comerciales o reales de manera efectiva?,Se han realizado estudios de aceptación del mercado y pruebas piloto con clientes reales.,15.0
TRL 8-9,¿El MVP ha demostrado ser capaz de operar en condiciones comerciales o reales de manera efectiva?,"Se ha obtenido retroalimentación positiva del mercado y los usuarios finales, con evidencia técnica de aceptación y demanda. Se han documentado los resultados en inglés y desde un enfoque interdisciplinario.",20.0
